Reduced barrier (eV),F2,F3,F4,F5,F6,Host element,Solute element,predict_Pt
0,99,0,198,0,297,Ag,Ag,0
1,98,2,196,3,294,Ag,Co,0
2,97,4,194,6,291,Ag,Ag,0
3,96,6,192,9,288,Ag,Co,0
4,95,8,190,12,285,Ag,Ag,0
5,94,10,188,15,282,Ag,Co,0
6,93,12,186,18,279,Ag,Ag,0
7,92,14,184,21,276,Ag,Co,0
8,91,16,182,24,273,Ag,Ag,0
9,90,18,180,27,270,Ag,Co,0
10,89,20,178,30,267,Ag,Ag,0
11,88,22,176,33,264,Ag,Co,0
12,87,24,174,36,261,Ag,Ag,0
13,86,26,172,39,258,Ag,Co,0
14,85,28,170,42,255,Ag,Ag,0
15,84,30,168,45,252,Ag,Co,0
16,83,32,166,48,249,Ag,Ag,0
17,82,34,164,51,246,Ag,Co,0
18,81,36,162,54,243,Ag,Ag,0
19,80,38,160,57,240,Ag,Co,0
20,79,40,158,60,237,Ag,Ag,0
21,78,42,156,63,234,Ag,Co,0
22,77,44,154,66,231,Ag,Ag,0
23,76,46,152,69,228,Ag,Co,0
24,75,48,150,72,225,Ag,Ag,0
25,74,50,148,75,222,Ag,Co,0
26,73,52,146,78,219,Ag,Ag,0
27,72,54,144,81,216,Ag,Co,0
28,71,56,142,84,213,Ag,Ag,0
29,70,58,140,87,210,Ag,Co,0
30,69,60,138,90,207,Ag,Ag,0
31,68,62,136,93,204,Ag,Co,0
32,67,64,134,96,201,Ag,Ag,0
33,66,66,132,99,198,Ag,Co,0
34,65,68,130,102,195,Ag,Ag,0
35,64,70,128,105,192,Ag,Co,0
36,63,72,126,108,189,Ag,Ag,0
37,62,74,124,111,186,Ag,Co,0
38,61,76,122,114,183,Ag,Ag,0
39,60,78,120,117,180,Ag,Co,0
40,59,80,118,120,177,Ag,Ag,0
41,58,82,116,123,174,Ag,Co,0
42,57,84,114,126,171,Ag,Ag,0
43,56,86,112,129,168,Ag,Co,0
44,55,88,110,132,165,Ag,Ag,0
45,54,90,108,135,162,Ag,Co,0
46,53,92,106,138,159,Ag,Ag,0
47,52,94,104,141,156,Ag,Co,0
48,51,96,102,144,153,Ag,Ag,0
49,50,98,100,147,150,Ag,Co,0
50,50,50,50,50,50,Ag,Ag,0
50,50,50,50,50,50,Ag,Co,0
50,50,50,50,50,50,Ag,Ag,0
50,50,50,50,50,50,Ag,Co,0
50,50,50,50,50,50,Ag,Ag,0
50,50,50,50,50,50,Ag,Co,0
50,50,50,50,50,50,Ag,Ag,0
50,50,50,50,50,50,Ag,Co,0
50,50,50,50,50,50,Ag,Ag,0
50,50,50,50,50,50,Ag,Co,0
50,50,50,50,50,50,Ag,Ag,0
50,50,50,50,50,50,Ag,Co,0
50,50,50,50,50,50,Ag,Ag,0
50,50,50,50,50,50,Ag,Co,0
50,50,50,50,50,50,Ag,Ag,0
50,50,50,50,50,50,Ag,Co,0
50,50,50,50,50,50,Ag,Ag,0
50,50,50,50,50,50,Ag,Co,0
50,50,50,50,50,50,Ag,Ag,0
50,50,50,50,50,50,Ag,Co,0
50,50,50,50,50,50,Ag,Ag,0
50,50,50,50,50,50,Ag,Co,0
50,50,50,50,50,50,Ag,Ag,0
50,50,50,50,50,50,Ag,Co,0
50,50,50,50,50,50,Ag,Ag,0
50,50,50,50,50,50,Ag,Co,0
50,50,50,50,50,50,Ag,Ag,0
50,50,50,50,50,50,Ag,Co,0
50,50,50,50,50,50,Ag,Ag,0
50,50,50,50,50,50,Ag,Co,0
50,50,50,50,50,50,Ag,Ag,0
50,50,50,50,50,50,Ag,Co,0
50,50,50,50,50,50,Ag,Ag,0
50,50,50,50,50,50,Ag,Co,0
50,50,50,50,50,50,Ag,Ag,0
50,50,50,50,50,50,Ag,Co,0
50,50,50,50,50,50,Ag,Ag,0
50,50,50,50,50,50,Ag,Co,0
50,50,50,50,50,50,Ag,Ag,0
50,50,50,50,50,50,Ag,Co,0
50,50,50,50,50,50,Ag,Ag,0
50,50,50,50,50,50,Ag,Co,0
50,50,50,50,50,50,Ag,Ag,0
50,50,50,50,50,50,Ag,Co,0
50,50,50,50,50,50,Ag,Ag,0
50,50,50,50,50,50,Ag,Co,0
50,50,50,50,50,50,Ag,Ag,0
50,50,50,50,50,50,Ag,Co,0
50,50,50,50,50,50,Ag,Ag,0
50,50,50,50,50,50,Ag,Co,0
